time,open,high,low,close,volume
1573344000,0.01489,0.016,0.01479,0.01571,158166163.19999999
1573430400,0.01572,0.01593,0.01449,0.01541,210005980.40000001
1573516800,0.01543,0.01563,0.0145,0.01487,184608022
1573603200,0.01492,0.01517,0.01454,0.01493,82189698.90000001
1573689600,0.01495,0.01502,0.01423,0.01443,90633111.8
1573776000,0.01442,0.0145,0.01356,0.01381,117032450.90000001
1573862400,0.01381,0.01445,0.01369,0.01445,89273621.2
1573948800,0.01445,0.01478,0.01403,0.01432,96618076.90000001
1574035200,0.0143,0.01449,0.01361,0.01404,73760874.5
1574121600,0.01404,0.0151,0.01359,0.01484,216103098
1574208000,0.01485,0.01502,0.01414,0.01434,189958223.69999999
1574294400,0.01433,0.01457,0.01332,0.01425,175568196.90000001
1574380800,0.01427,0.0144,0.01215,0.01403,348609438.89999998
1574467200,0.01406,0.0169,0.01368,0.01662,529613232.19999999
1574553600,0.01662,0.0177,0.01504,0.01515,574517033.20000005
1574640000,0.01509,0.02166,0.01485,0.02094,1064902274.5
1574726400,0.02094,0.02295,0.01994,0.02171,857771499.39999998
1574812800,0.02171,0.025,0.02027,0.02459,756927193
1574899200,0.02458,0.0258,0.02221,0.02267,505162238.19999999
1574985600,0.02265,0.02517,0.0225,0.02451,335527815.5
1575072000,0.02448,0.0296,0.02411,0.0289,701996285.60000002
1575158400,0.02891,0.02894,0.02613,0.02661,472083696.69999999
1575244800,0.02661,0.02728,0.02484,0.02637,372402095.19999999
1575331200,0.02637,0.03116,0.02636,0.02915,597316823.70000005
1575417600,0.0292,0.03267,0.02776,0.0318,489185375.60000002
1575504000,0.03182,0.03447,0.03133,0.03316,512467200.10000002
1575590400,0.03308,0.04198,0.03225,0.04136,689580569.5
1575676800,0.04146,0.04195,0.03712,0.03889,571914982.20000005
1575763200,0.03879,0.0427,0.03806,0.0415,381082933.80000001
1575849600,0.04149,0.04269,0.03343,0.03425,609748021.5
1575936000,0.03424,0.03483,0.01124,0.01725,6142136747.69999981
1576022400,0.01726,0.01956,0.01695,0.01794,1392393467.5
1576108800,0.01794,0.01813,0.01532,0.01572,1229731085.5999999
1576195200,0.01571,0.01686,0.0156,0.01603,607539258.79999995
1576281600,0.01603,0.01627,0.01319,0.01359,943749247.79999995
1576368000,0.0136,0.01465,0.01316,0.01422,1000674253.39999998
1576454400,0.01421,0.01462,0.0129,0.0132,947149789
1576540800,0.0132,0.0133,0.0117,0.01208,897035940.29999995
1576627200,0.0121,0.0135,0.01126,0.0127,954915615.89999998
1576713600,0.01271,0.01315,0.01221,0.01314,434280462.19999999
1576800000,0.01314,0.01585,0.01312,0.01557,1683680305.9000001
1576886400,0.01555,0.0184,0.0152,0.01798,1560964123.5
1576972800,0.01798,0.01998,0.015,0.01614,2208662697.19999981
1577059200,0.01614,0.01628,0.01463,0.01508,1116971022.20000005
1577145600,0.01508,0.01619,0.01476,0.01613,603164613
1577232000,0.01613,0.01698,0.0151,0.01564,692544947.70000005
1577318400,0.01562,0.01635,0.01525,0.01566,394179878.69999999
1577404800,0.01563,0.01585,0.01451,0.01518,348584709
1577491200,0.01519,0.01546,0.01492,0.01494,167633035
1577577600,0.01494,0.01539,0.01455,0.01474,286595877.39999998
1577664000,0.01473,0.01496,0.0142,0.01427,182360796.30000001
1577750400,0.01428,0.01451,0.01366,0.01379,220977375.5
1577836800,0.01379,0.0155,0.01375,0.01496,491078226.69999999
1577923200,0.01498,0.01578,0.01428,0.01467,633705645.20000005
1578009600,0.01466,0.01543,0.01417,0.01512,381462323.69999999
1578096000,0.01513,0.01549,0.01473,0.01484,230291045.90000001
1578182400,0.01482,0.01516,0.01464,0.01483,185917300.09999999
1578268800,0.01482,0.01595,0.01476,0.01554,398548143.89999998
1578355200,0.01556,0.01569,0.01476,0.01509,372258630.10000002
1578441600,0.01508,0.01532,0.01469,0.01499,333818052.19999999
1578528000,0.015,0.01514,0.01442,0.01459,179884184.09999999
1578614400,0.01459,0.01497,0.01423,0.01486,211672984.30000001
1578700800,0.01486,0.0151,0.01471,0.01479,178764052.80000001
1578787200,0.01478,0.0152,0.01466,0.01496,147803317.80000001
1578873600,0.01497,0.01565,0.01476,0.01548,227352720.19999999
1578960000,0.01548,0.01605,0.0152,0.01564,508533400.10000002
1579046400,0.01563,0.01704,0.01546,0.01639,454172196.69999999
1579132800,0.0164,0.01645,0.01542,0.01614,375117135.80000001
1579219200,0.01613,0.01926,0.01576,0.0187,1188281610.0999999
1579305600,0.0187,0.01886,0.01721,0.01748,408909989.5
1579392000,0.01747,0.01779,0.01584,0.01643,380894731.60000002
1579478400,0.01644,0.01723,0.01602,0.01685,256003406.30000001
1579564800,0.01686,0.01745,0.01616,0.01713,294705404.10000002
1579651200,0.01715,0.01724,0.01672,0.01708,172091173.59999999
1579737600,0.0171,0.01711,0.01569,0.01605,249820107.69999999
1579824000,0.01605,0.01646,0.01531,0.01622,189090063.30000001
1579910400,0.01622,0.01642,0.01576,0.01602,153695842.30000001
1579996800,0.016,0.01666,0.01592,0.01645,139815455.5
1580083200,0.01648,0.01737,0.01647,0.0169,265267740
1580169600,0.0169,0.01735,0.01649,0.01714,292710824.5
1580256000,0.01715,0.01725,0.01673,0.01704,229198524.59999999
1580342400,0.01704,0.01871,0.01685,0.01859,528836868.5
1580428800,0.01859,0.01885,0.01769,0.01795,309411929
1580515200,0.0179,0.01842,0.0178,0.01829,138733238.40000001
1580601600,0.01829,0.0197,0.0178,0.01903,346032953.89999998
